nom_reg_rbd_a,depe,zona,cod_ense2,categoria_asistencia,estudiantes,tasa_asistencia_promedio
ARAUC,Municipal,Rural,2,Inasistencia Reiterada,1252,0.8771325741020796
ARAUC,Municipal,Rural,4,Asistencia esperada,7,0.9653679653679654
ARAUC,Municipal,Rural,4,Inasistencia Crítica,3,0.26464646464646463
ARAUC,Municipal,Rural,4,Inasistencia Grave,1,0.6848484848484848
ARAUC,Municipal,Rural,4,Inasistencia Reiterada,3,0.8707070707070708
ARAUC,Municipal,Rural,7,Asistencia esperada,63,0.9738172597267272
ARAUC,Municipal,Rural,7,Inasistencia Crítica,10,0.19900204483469683
ARAUC,Municipal,Rural,7,Inasistencia Grave,12,0.7345913479978198
ARAUC,Municipal,Rural,7,Inasistencia Reiterada,8,0.8799870474348506
ARAUC,Municipal,Urbano,1,Asistencia esperada,2417,0.9548519730719989
ARAUC,Municipal,Urbano,1,Inasistencia Crítica,229,0.29554909829455456
ARAUC,Municipal,Urbano,1,Inasistencia Grave,2034,0.7334520676725044
ARAUC,Municipal,Urbano,1,Inasistencia Reiterada,820,0.8759295596928998
ARAUC,Municipal,Urbano,2,Asistencia esperada,18453,0.9529641854103321
ARAUC,Municipal,Urbano,2,Inasistencia Crítica,397,0.26689786401183796
ARAUC,Municipal,Urbano,2,Inasistencia Grave,6562,0.7750362004010077
ARAUC,Municipal,Urbano,2,Inasistencia Reiterada,5692,0.8761025180295069
ARAUC,Municipal,Urbano,3,Asistencia esperada,149,0.9750183962346922
ARAUC,Municipal,Urbano,3,Inasistencia Crítica,116,0.20259700332523117
ARAUC,Municipal,Urbano,3,Inasistencia Grave,81,0.695453949497948
ARAUC,Municipal,Urbano,3,Inasistencia Reiterada,32,0.8735592252760974
ARAUC,Municipal,Urbano,4,Asistencia esperada,350,0.9640824327901418
ARAUC,Municipal,Urbano,4,Inasistencia Crítica,102,0.24774802660358233
ARAUC,Municipal,Urbano,4,Inasistencia Grave,250,0.7228265607292522
ARAUC,Municipal,Urbano,4,Inasistencia Reiterada,71,0.8779969441406107
ARAUC,Municipal,Urbano,5,Asistencia esperada,7561,0.9495456040387503
ARAUC,Municipal,Urbano,5,Inasistencia Crítica,404,0.26385443024607813
ARAUC,Municipal,Urbano,5,Inasistencia Grave,3027,0.7722755131227456
ARAUC,Municipal,Urbano,5,Inasistencia Reiterada,2571,0.8765933056577535
ARAUC,Municipal,Urbano,6,Asistencia esperada,368,0.9716696863422243
ARAUC,Municipal,Urbano,6,Inasistencia Crítica,482,0.2063624596712786
ARAUC,Municipal,Urbano,6,Inasistencia Grave,424,0.6983004957891693
ARAUC,Municipal,Urbano,6,Inasistencia Reiterada,74,0.8793593726828224
ARAUC,Municipal,Urbano,7,Asistencia esperada,4509,0.9532602942094885
ARAUC,Municipal,Urbano,7,Inasistencia Crítica,344,0.25873420337043634
ARAUC,Municipal,Urbano,7,Inasistencia Grave,1666,0.7579610290294554
ARAUC,Municipal,Urbano,7,Inasistencia Reiterada,1254,0.8769414990569102
ARAUC,Municipal,Urbano,8,Asistencia esperada,59,0.9581244991854351
ARAUC,Municipal,Urbano,8,Inasistencia Crítica,42,0.25817305460270906
ARAUC,Municipal,Urbano,8,Inasistencia Grave,30,0.7061841316022528
ARAUC,Municipal,Urbano,8,Inasistencia Reiterada,6,0.8727145869716634
ARAUC,Particular Subvencionado,Rural,1,Asistencia esperada,1347,0.9670796472877307
ARAUC,Particular Subvencionado,Rural,1,Inasistencia Crítica,81,0.2487761550786902
ARAUC,Particular Subvencionado,Rural,1,Inasistencia Grave,548,0.7350019550998115
ARAUC,Particular Subvencionado,Rural,1,Inasistencia Reiterada,246,0.877257206993301
ARAUC,Particular Subvencionado,Rural,2,Asistencia esperada,12202,0.9704843744115667
ARAUC,Particular Subvencionado,Rural,2,Inasistencia Crítica,121,0.24688203434376865
ARAUC,Particular Subvencionado,Rural,2,Inasistencia Grave,1536,0.772908190345546
ARAUC,Particular Subvencionado,Rural,2,Inasistencia Reiterada,1541,0.8778798681260669
ARAUC,Particular Subvencionado,Rural,3,Asistencia esperada,216,0.9695591310298655
ARAUC,Particular Subvencionado,Rural,3,Inasistencia Crítica,18,0.3182615378897504
ARAUC,Particular Subvencionado,Rural,3,Inasistencia Grave,23,0.6760709268860139
ARAUC,Particular Subvencionado,Rural,3,Inasistencia Reiterada,10,0.8812982779391965
ARAUC,Particular Subvencionado,Rural,4,Asistencia esperada,55,0.9569818638680088
ARAUC,Particular Subvencionado,Rural,4,Inasistencia Crítica,5,0.1734556797794143
ARAUC,Particular Subvencionado,Rural,4,Inasistencia Grave,32,0.7371282404870345
ARAUC,Particular Subvencionado,Rural,4,Inasistencia Reiterada,13,0.8803041630068467
ARAUC,Particular Subvencionado,Rural,5,Asistencia esperada,870,0.9621285528837115
ARAUC,Particular Subvencionado,Rural,5,Inasistencia Crítica,59,0.26309469701351185
ARAUC,Particular Subvencionado,Rural,5,Inasistencia Grave,247,0.7520450789143673
ARAUC,Particular Subvencionado,Rural,5,Inasistencia Reiterada,188,0.8764732994264447
ARAUC,Particular Subvencionado,Rural,6,Asistencia esperada,448,0.9752576865365387
ARAUC,Particular Subvencionado,Rural,6,Inasistencia Crítica,51,0.17571508697265228
ARAUC,Particular Subvencionado,Rural,6,Inasistencia Grave,38,0.6666006012632896
ARAUC,Particular Subvencionado,Rural,6,Inasistencia Reiterada,24,0.8827934187796784
ARAUC,Particular Subvencionado,Rural,7,Asistencia esperada,1153,0.9678178757126839
ARAUC,Particular Subvencionado,Rural,7,Inasistencia Crítica,66,0.2769345116802698
ARAUC,Particular Subvencionado,Rural,7,Inasistencia Grave,229,0.7293515562697278
ARAUC,Particular Subvencionado,Rural,7,Inasistencia Reiterada,164,0.8771475385764698
ARAUC,Particular Subvencionado,Urbano,1,Asistencia esperada,4145,0.9589369478724892
ARAUC,Particular Subvencionado,Urbano,1,Inasistencia Crítica,414,0.2956137412404368
ARAUC,Particular Subvencionado,Urbano,1,Inasistencia Grave,3235,0.7412107592893302
ARAUC,Particular Subvencionado,Urbano,1,Inasistencia Reiterada,1347,0.8757666289128115
ARAUC,Particular Subvencionado,Urbano,2,Asistencia esperada,33264,0.9557693430715329
ARAUC,Particular Subvencionado,Urbano,2,Inasistencia Crítica,640,0.2769147519903231
ARAUC,Particular Subvencionado,Urbano,2,Inasistencia Grave,9802,0.7760099651039366
ARAUC,Particular Subvencionado,Urbano,2,Inasistencia Reiterada,9062,0.8770930425111914
ARAUC,Particular Subvencionado,Urbano,3,Asistencia esperada,310,0.9585600244609734
ARAUC,Particular Subvencionado,Urbano,3,Inasistencia Crítica,80,0.22236180503110536
ARAUC,Particular Subvencionado,Urbano,3,Inasistencia Grave,146,0.7255325278268852
ARAUC,Particular Subvencionado,Urbano,3,Inasistencia Reiterada,101,0.8781846629674861
ARAUC,Particular Subvencionado,Urbano,4,Asistencia esperada,3925,0.9766468385983341
ARAUC,Particular Subvencionado,Urbano,4,Inasistencia Crítica,283,0.21954885595036958
ARAUC,Particular Subvencionado,Urbano,4,Inasistencia Grave,455,0.7463008058333711
ARAUC,Particular Subvencionado,Urbano,4,Inasistencia Reiterada,291,0.8807030917455162
ARAUC,Particular Subvencionado,Urbano,5,Asistencia esperada,12412,0.9555177178839466
ARAUC,Particular Subvencionado,Urbano,5,Inasistencia Crítica,456,0.27749715209994313
ARAUC,Particular Subvencionado,Urbano,5,Inasistencia Grave,3695,0.7664479284986132
ARAUC,Particular Subvencionado,Urbano,5,Inasistencia Reiterada,3571,0.8774538088678466
ARAUC,Particular Subvencionado,Urbano,6,Asistencia esperada,2290,0.9635383613318859
ARAUC,Particular Subvencionado,Urbano,6,Inasistencia Crítica,690,0.2209152063668137
ARAUC,Particular Subvencionado,Urbano,6,Inasistencia Grave,863,0.7230816375229904
ARAUC,Particular Subvencionado,Urbano,6,Inasistencia Reiterada,421,0.876583366647372
ARAUC,Particular Subvencionado,Urbano,7,Asistencia esperada,4533,0.9527898838659166
ARAUC,Particular Subvencionado,Urbano,7,Inasistencia Crítica,306,0.2545338836429234
ARAUC,Particular Subvencionado,Urbano,7,Inasistencia Grave,2049,0.7616214149494408
ARAUC,Particular Subvencionado,Urbano,7,Inasistencia Reiterada,1596,0.8766749805492497
ARAUC,Particular Subvencionado,Urbano,8,Asistencia esperada,68,0.9368716519647575
ARAUC,Particular Subvencionado,Urbano,8,Inasistencia Crítica,20,0.2756514252654535
ARAUC,Particular Subvencionado,Urbano,8,Inasistencia Grave,34,0.7168833369757127
ARAUC,Particular Subvencionado,Urbano,8,Inasistencia Reiterada,14,0.878380951899542
ARAUC,SLEP,Rural,1,Asistencia esperada,135,0.9666992960996241
ARAUC,SLEP,Rural,1,Inasistencia Crítica,8,0.2554359525716107
ARAUC,SLEP,Rural,1,Inasistencia Grave,22,0.7783836368569595
ARAUC,SLEP,Rural,1,Inasistencia Reiterada,15,0.8819832347365876
ARAUC,SLEP,Rural,2,Asistencia esperada,727,0.9714582777107926
ARAUC,SLEP,Rural,2,Inasistencia Crítica,2,0.48909125766871164
ARAUC,SLEP,Rural,2,Inasistencia Grave,78,0.7866654967018302
ARAUC,SLEP,Rural,2,Inasistencia Reiterada,69,0.8762329487567028
ARAUC,SLEP,Rural,7,Asistencia esperada,104,0.973668933650826
ARAUC,SLEP,Rural,7,Inasistencia Crítica,3,0.12678936605316973
ARAUC,SLEP,Rural,7,Inasistencia Grave,7,0.7072698461550271
ARAUC,SLEP,Rural,7,Inasistencia Reiterada,7,0.8817168295695904
ARAUC,SLEP,Urbano,1,Asistencia esperada,239,0.9429235484098082
ARAUC,SLEP,Urbano,1,Inasistencia Crítica,36,0.26125050710433895
ARAUC,SLEP,Urbano,1,Inasistencia Grave,288,0.7335109914236942
ARAUC,SLEP,Urbano,1,Inasistencia Reiterada,124,0.8797682823914408
ARAUC,SLEP,Urbano,2,Asistencia esperada,2284,0.9470347914137259
ARAUC,SLEP,Urbano,2,Inasistencia Crítica,22,0.2869883186142108
ARAUC,SLEP,Urbano,2,Inasistencia Grave,627,0.7791865005385255
ARAUC,SLEP,Urbano,2,Inasistencia Reiterada,686,0.8779750523451908
ARAUC,SLEP,Urbano,3,Asistencia esperada,21,0.989256751510291
ARAUC,SLEP,Urbano,3,Inasistencia Crítica,10,0.1295222197693528
ARAUC,SLEP,Urbano,3,Inasistencia Grave,3,0.752391975308642
ARAUC,SLEP,Urbano,3,Inasistencia Reiterada,2,0.8888888888888888
ARAUC,SLEP,Urbano,4,Asistencia esperada,28,0.9337560254163015
ARAUC,SLEP,Urbano,4,Inasistencia Crítica,24,0.2587625036064362
ARAUC,SLEP,Urbano,4,Inasistencia Grave,57,0.6971682090067438
ARAUC,SLEP,Urbano,4,Inasistencia Reiterada,21,0.8778055371482724
ARAUC,SLEP,Urbano,5,Asistencia esperada,1290,0.9466184317405331
ARAUC,SLEP,Urbano,5,Inasistencia Crítica,78,0.2577662991060946
ARAUC,SLEP,Urbano,5,Inasistencia Grave,416,0.7689691270921224
ARAUC,SLEP,Urbano,5,Inasistencia Reiterada,429,0.8777296462785519
ARAUC,SLEP,Urbano,6,Asistencia esperada,40,0.967082658247181
ARAUC,SLEP,Urbano,6,Inasistencia Crítica,71,0.13786321032632035
ARAUC,SLEP,Urbano,6,Inasistencia Grave,42,0.6860471597188805
ARAUC,SLEP,Urbano,6,Inasistencia Reiterada,5,0.8846301208370173
ARAUC,SLEP,Urbano,7,Asistencia esperada,392,0.9478892684891009
ARAUC,SLEP,Urbano,7,Inasistencia Crítica,31,0.2804897286560182
ARAUC,SLEP,Urbano,7,Inasistencia Grave,184,0.7638166876968537
ARAUC,SLEP,Urbano,7,Inasistencia Reiterada,129,0.877698512827132
ATCMA,Particular Subvencionado,Rural,1,Asistencia esperada,6,0.9202898550724637
ATCMA,Particular Subvencionado,Rural,1,Inasistencia Crítica,2,0.4671922280617933
ATCMA,Particular Subvencionado,Rural,1,Inasistencia Grave,7,0.8127772848269742
ATCMA,Particular Subvencionado,Rural,1,Inasistencia Reiterada,6,0.8740031274359844
ATCMA,Particular Subvencionado,Rural,2,Asistencia esperada,66,0.9454217826017884
ATCMA,Particular Subvencionado,Rural,2,Inasistencia Crítica,1,0.48717948717948717
ATCMA,Particular Subvencionado,Rural,2,Inasistencia Grave,20,0.7790205446727186
ATCMA,Particular Subvencionado,Rural,2,Inasistencia Reiterada,14,0.8776503139438759
ATCMA,Particular Subvencionado,Urbano,1,Asistencia esperada,570,0.9536434310669815
ATCMA,Particular Subvencionado,Urbano,1,Inasistencia Crítica,64,0.2991232330783712
ATCMA,Particular Subvencionado,Urbano,1,Inasistencia Grave,818,0.7386240446575972
ATCMA,Particular Subvencionado,Urbano,1,Inasistencia Reiterada,302,0.8751461596816641
ATCMA,Particular Subvencionado,Urbano,2,Asistencia esperada,4940,0.9522659091695255
ATCMA,Particular Subvencionado,Urbano,2,Inasistencia Crítica,159,0.30252529486881335
ATCMA,Particular Subvencionado,Urbano,2,Inasistencia Grave,3091,0.766297497652109
ATCMA,Particular Subvencionado,Urbano,2,Inasistencia Reiterada,2272,0.8764593860404651
ATCMA,Particular Subvencionado,Urbano,4,Asistencia esperada,1239,0.9704127284237162
ATCMA,Particular Subvencionado,Urbano,4,Inasistencia Crítica,161,0.2373632309907338
ATCMA,Particular Subvencionado,Urbano,4,Inasistencia Grave,483,0.7267303978557869
ATCMA,Particular Subvencionado,Urbano,4,Inasistencia Reiterada,201,0.8773162431553878
ATCMA,Particular Subvencionado,Urbano,5,Asistencia esperada,2155,0.9521917601422666
ATCMA,Particular Subvencionado,Urbano,5,Inasistencia Crítica,129,0.274294276298833
ATCMA,Particular Subvencionado,Urbano,5,Inasistencia Grave,1186,0.763837400147403
ATCMA,Particular Subvencionado,Urbano,5,Inasistencia Reiterada,1005,0.8757088918475454
ATCMA,Particular Subvencionado,Urbano,6,Asistencia esperada,4,0.9727008615507914
ATCMA,Particular Subvencionado,Urbano,6,Inasistencia Crítica,11,0.19009320063146531
ATCMA,Particular Subvencionado,Urbano,6,Inasistencia Grave,13,0.7323459363606629
ATCMA,Particular Subvencionado,Urbano,6,Inasistencia Reiterada,1,0.8819875776397516
ATCMA,Particular Subvencionado,Urbano,7,Asistencia esperada,1026,0.9432293665786805
ATCMA,Particular Subvencionado,Urbano,7,Inasistencia Crítica,95,0.2646419638510277
ATCMA,Particular Subvencionado,Urbano,7,Inasistencia Grave,683,0.7716041589817951
ATCMA,Particular Subvencionado,Urbano,7,Inasistencia Reiterada,633,0.8759775696185874
ATCMA,SLEP,Rural,1,Asistencia esperada,61,0.9381873386687244
ATCMA,SLEP,Rural,1,Inasistencia Crítica,15,0.3021793079419606
ATCMA,SLEP,Rural,1,Inasistencia Grave,78,0.7246038177261653
ATCMA,SLEP,Rural,1,Inasistencia Reiterada,29,0.8741231788852133
ATCMA,SLEP,Rural,2,Asistencia esperada,705,0.9474390754738246
ATCMA,SLEP,Rural,2,Inasistencia Crítica,20,0.23716722981009633
ATCMA,SLEP,Rural,2,Inasistencia Grave,350,0.7662542970839562
ATCMA,SLEP,Rural,2,Inasistencia Reiterada,266,0.8756273320612749
ATCMA,SLEP,Rural,5,Asistencia esperada,58,0.9416188174169913
ATCMA,SLEP,Rural,5,Inasistencia Crítica,13,0.2650746495717105
ATCMA,SLEP,Rural,5,Inasistencia Grave,41,0.7686995647332706
ATCMA,SLEP,Rural,5,Inasistencia Reiterada,39,0.8692213126195162
ATCMA,SLEP,Rural,7,Asistencia esperada,30,0.9345726846959675
ATCMA,SLEP,Rural,7,Inasistencia Crítica,8,0.3531808931157293
ATCMA,SLEP,Rural,7,Inasistencia Grave,37,0.7719526500787508
ATCMA,SLEP,Rural,7,Inasistencia Reiterada,24,0.8760148862424759
ATCMA,SLEP,Urbano,1,Asistencia esperada,841,0.9444286762983608
ATCMA,SLEP,Urbano,1,Inasistencia Crítica,291,0.31485011845108957
ATCMA,SLEP,Urbano,1,Inasistencia Grave,1890,0.728410907865454
ATCMA,SLEP,Urbano,1,Inasistencia Reiterada,561,0.8745542681645503
ATCMA,SLEP,Urbano,2,Asistencia esperada,9164,0.9429336663258416
ATCMA,SLEP,Urbano,2,Inasistencia Crítica,696,0.255098119785868
ATCMA,SLEP,Urbano,2,Inasistencia Grave,9258,0.7592521856702162
ATCMA,SLEP,Urbano,2,Inasistencia Reiterada,5038,0.8758709444743655
ATCMA,SLEP,Urbano,3,Asistencia esperada,67,0.9729319588592421
ATCMA,SLEP,Urbano,3,Inasistencia Crítica,72,0.21891339664835896
ATCMA,SLEP,Urbano,3,Inasistencia Grave,68,0.7197435128286024
ATCMA,SLEP,Urbano,3,Inasistencia Reiterada,25,0.8751822657615875
ATCMA,SLEP,Urbano,4,Asistencia esperada,119,0.962515675632127
ATCMA,SLEP,Urbano,4,Inasistencia Crítica,60,0.23053632786505215
ATCMA,SLEP,Urbano,4,Inasistencia Grave,234,0.7184645833728059
ATCMA,SLEP,Urbano,4,Inasistencia Reiterada,39,0.8782840127843454
ATCMA,SLEP,Urbano,5,Asistencia esperada,2118,0.943405272157602
ATCMA,SLEP,Urbano,5,Inasistencia Crítica,311,0.25593542443923173
ATCMA,SLEP,Urbano,5,Inasistencia Grave,1803,0.7569026201559467
ATCMA,SLEP,Urbano,5,Inasistencia Reiterada,995,0.8765316732486299
ATCMA,SLEP,Urbano,6,Asistencia esperada,96,0.9386668265359804
ATCMA,SLEP,Urbano,6,Inasistencia Crítica,337,0.18506013438044527
ATCMA,SLEP,Urbano,6,Inasistencia Grave,331,0.6976203058852788
ATCMA,SLEP,Urbano,6,Inasistencia Reiterada,88,0.8804925441474503
ATCMA,SLEP,Urbano,7,Asistencia esperada,1933,0.9411587403096757
ATCMA,SLEP,Urbano,7,Inasistencia Crítica,317,0.27653315274371215
ATCMA,SLEP,Urbano,7,Inasistencia Grave,2313,0.756976170880579
ATCMA,SLEP,Urbano,7,Inasistencia Reiterada,1182,0.8755587508876743
ATCMA,SLEP,Urbano,8,Asistencia esperada,118,0.9638980623621298
ATCMA,SLEP,Urbano,8,Inasistencia Crítica,209,0.15601351292521085
ATCMA,SLEP,Urbano,8,Inasistencia Grave,151,0.7043911684033627
ATCMA,SLEP,Urbano,8,Inasistencia Reiterada,38,0.8759265444746127
AYP,Particular Subvencionado,Rural,2,Asistencia esperada,19,0.9656199064093801
AYP,Particular Subvencionado,Rural,2,Inasistencia Crítica,5,0.11757575757575758
AYP,Particular Subvencionado,Rural,2,Inasistencia Grave,6,0.8020412577275878
AYP,Particular Subvencionado,Rural,2,Inasistencia Reiterada,7,0.8807140459464039
AYP,Particular Subvencionado,Rural,3,Asistencia esperada,52,0.9800143524367706
AYP,Particular Subvencionado,Rural,3,Inasistencia Crítica,11,0.2320306946231481
AYP,Particular Subvencionado,Rural,3,Inasistencia Grave,11,0.67180987035257
AYP,Particular Subvencionado,Rural,7,Asistencia esperada,79,0.9653292789916014
AYP,Particular Subvencionado,Rural,7,Inasistencia Crítica,12,0.20764330409597145
AYP,Particular Subvencionado,Rural,7,Inasistencia Grave,18,0.7820620270729117
AYP,Particular Subvencionado,Rural,7,Inasistencia Reiterada,18,0.8740379794851338
AYP,Particular Subvencionado,Rural,8,Asistencia esperada,283,0.9785113283063674
AYP,Particular Subvencionado,Rural,8,Inasistencia Crítica,71,0.2970441147943947
AYP,Particular Subvencionado,Rural,8,Inasistencia Grave,63,0.7481747585501128
AYP,Particular Subvencionado,Rural,8,Inasistencia Reiterada,37,0.8793642569269161
AYP,Particular Subvencionado,Urbano,1,Asistencia esperada,1421,0.9586334406268316
AYP,Particular Subvencionado,Urbano,1,Inasistencia Crítica,147,0.269245159575889
AYP,Particular Subvencionado,Urbano,1,Inasistencia Grave,993,0.7356836939167134
AYP,Particular Subvencionado,Urbano,1,Inasistencia Reiterada,418,0.8771726226653607
AYP,Particular Subvencionado,Urbano,2,Asistencia esperada,10820,0.9543219433477379
AYP,Particular Subvencionado,Urbano,2,Inasistencia Crítica,407,0.21271390445968635
